sub_id,preferred_pic,mean_time_looking_at_pref,mean_percentage_looking_at_pref,mean_response_time
cret01,alcohol,,,
cret03,alcohol,389.210526316,0.619266201694,1237.95280742
cret04,alcohol,438.046875,0.716292889758,815.428861391
cret05,alcohol,381.553191489,0.644860392867,794.781697175
cret06,alcohol,266.773333333,0.853157618283,531.194363136
cret07,alcohol,633.545454545,0.566517961146,1254.46737517
cret08,alcohol,,,
cret09,alcohol,,,
cret10,alcohol,483.363636364,0.770711671345,804.95793835
cret11,alcohol,326.454545455,0.686003890565,830.845882218
cret01,cigarette,,,
cret03,cigarette,391.444444444,0.582939695556,1098.1603354
cret04,cigarette,245.363636364,0.444946653182,845.076005829
cret05,cigarette,322.913043478,0.414088494795,1066.45900738
cret06,cigarette,127.0,0.530424043838,512.540270067
cret07,cigarette,526.523809524,0.490113058047,1243.99731882
cret08,cigarette,616.797101449,0.635470933596,1348.78870222
cret09,cigarette,394.254545455,0.779142465786,770.372952715
cret10,cigarette,475.166666667,0.760075594072,769.543339521
cret11,cigarette,370.5625,0.651918176592,867.395625763
cret01,neutral,627.25,0.743412004012,1233.44492288
cret03,neutral,219.8,0.560736196319,759.561897169
cret04,neutral,0.0,0.0,664.382268113
cret05,neutral,,,
cret06,neutral,,,
cret07,neutral,406.5,0.477255561644,1036.8614702
cret08,neutral,1067.0,0.449452401011,2568.71568092
cret09,neutral,,,
cret10,neutral,390.4,0.723399788809,688.311311108
cret11,neutral,171.692307692,0.457868506461,819.571168167
