sub_id,trial_type,alc_prop_last_fixated,cig_prop_last_fixated,neu_prop_last_fixated,chose_alc_alc_prop_last_fixated,chose_alc_cig_prop_last_fixated,chose_alc_neu_prop_last_fixated,chose_cig_alc_prop_last_fixated,chose_cig_cig_prop_last_fixated,chose_cig_neu_prop_last_fixated,chose_neu_alc_prop_last_fixated,chose_neu_cig_prop_last_fixated,chose_neu_neu_prop_last_fixated
cret03,lowC_lowA,0.571428571429,0.0,0.428571428571,1.0,0.0,0.0,0.0,0.0,1.0,0.333333333333,0.0,0.666666666667
cret04,lowC_lowA,0.0,0.5,0.5,0.75,0.0,0.25,0.0,0.583333333333,0.416666666667,0.142857142857,0.142857142857,0.714285714286
cret05,lowC_lowA,0.35,0.15,0.5,0.636363636364,0.0,0.363636363636,0.0,0.583333333333,0.416666666667,0.2,0.2,0.6
cret06,lowC_lowA,,,,0.636363636364,0.0,0.363636363636,0.0,0.583333333333,0.416666666667,0.2,0.2,0.6
cret07,lowC_lowA,0.352941176471,0.411764705882,0.235294117647,0.55,0.15,0.3,0.105263157895,0.578947368421,0.315789473684,0.190476190476,0.190476190476,0.619047619048
cret08,lowC_lowA,0.117647058824,0.764705882353,0.117647058824,0.55,0.15,0.3,0.111111111111,0.666666666667,0.222222222222,0.190476190476,0.190476190476,0.619047619048
cret09,lowC_lowA,0.285714285714,0.642857142857,0.0714285714286,0.55,0.15,0.3,0.16,0.66,0.18,0.190476190476,0.190476190476,0.619047619048
cret10,lowC_lowA,0.6875,0.125,0.1875,0.65625,0.09375,0.25,0.173076923077,0.653846153846,0.173076923077,0.173913043478,0.217391304348,0.608695652174
cret11,lowC_lowA,0.222222222222,0.277777777778,0.5,0.676470588235,0.0882352941176,0.235294117647,0.166666666667,0.62962962963,0.203703703704,0.162162162162,0.27027027027,0.567567567568
cret14,lowC_lowA,0.466666666667,0.133333333333,0.4,0.63829787234,0.0851063829787,0.276595744681,0.160714285714,0.625,0.214285714286,0.162162162162,0.27027027027,0.567567567568
cret15,lowC_lowA,0.222222222222,0.555555555556,0.222222222222,0.645833333333,0.0833333333333,0.270833333333,0.164383561644,0.616438356164,0.219178082192,0.162162162162,0.27027027027,0.567567567568
cret16,lowC_lowA,0.333333333333,0.166666666667,0.5,0.645833333333,0.0833333333333,0.270833333333,0.162162162162,0.608108108108,0.22972972973,0.190476190476,0.261904761905,0.547619047619
cret17,lowC_lowA,0.421052631579,0.263157894737,0.315789473684,0.645833333333,0.0833333333333,0.270833333333,0.162162162162,0.608108108108,0.22972972973,0.262295081967,0.262295081967,0.475409836066
cret18,lowC_lowA,0.55,0.4,0.05,0.626865671642,0.164179104478,0.208955223881,0.16,0.613333333333,0.226666666667,0.262295081967,0.262295081967,0.475409836066
cret19,lowC_lowA,0.277777777778,0.555555555556,0.166666666667,0.632352941176,0.161764705882,0.205882352941,0.175824175824,0.615384615385,0.208791208791,0.258064516129,0.258064516129,0.483870967742
cret21,lowC_lowA,0.375,0.625,0.0,0.647887323944,0.154929577465,0.197183098592,0.166666666667,0.635416666667,0.197916666667,0.258064516129,0.258064516129,0.483870967742
cret22,lowC_lowA,0.823529411765,0.0,0.176470588235,0.686746987952,0.132530120482,0.180722891566,0.166666666667,0.635416666667,0.197916666667,0.283582089552,0.238805970149,0.477611940299
cret24,lowC_lowA,0.444444444444,0.166666666667,0.388888888889,0.677419354839,0.139784946237,0.182795698925,0.164948453608,0.639175257732,0.19587628866,0.283783783784,0.216216216216,0.5
cret25,lowC_lowA,0.473684210526,0.210526315789,0.315789473684,0.669811320755,0.150943396226,0.179245283019,0.164948453608,0.639175257732,0.19587628866,0.275,0.2125,0.5125
cret26,lowC_lowA,0.4,0.466666666667,0.133333333333,0.672566371681,0.150442477876,0.176991150442,0.155339805825,0.660194174757,0.184466019417,0.280487804878,0.207317073171,0.512195121951
cret27,lowC_lowA,0.4,0.5,0.1,0.655737704918,0.172131147541,0.172131147541,0.153846153846,0.663461538462,0.182692307692,0.280487804878,0.207317073171,0.512195121951
cret28,lowC_lowA,0.375,0.4375,0.1875,0.658914728682,0.170542635659,0.170542635659,0.151785714286,0.669642857143,0.178571428571,0.277108433735,0.204819277108,0.518072289157
cret29,lowC_lowA,0.5,0.3125,0.1875,0.659574468085,0.177304964539,0.163120567376,0.147826086957,0.669565217391,0.182608695652,0.27380952381,0.202380952381,0.52380952381
cret30,lowC_lowA,0.4,0.3,0.3,0.657342657343,0.181818181818,0.160839160839,0.16393442623,0.647540983607,0.188524590164,0.270588235294,0.2,0.529411764706
cret33,lowC_lowA,0.666666666667,0.0555555555556,0.277777777778,0.6625,0.16875,0.16875,0.16393442623,0.647540983607,0.188524590164,0.267441860465,0.197674418605,0.53488372093
cret36,lowC_lowA,0.0,0.0769230769231,0.923076923077,0.6625,0.16875,0.16875,0.162601626016,0.650406504065,0.186991869919,0.234693877551,0.173469387755,0.591836734694
cret37,lowC_lowA,0.578947368421,0.0526315789474,0.368421052632,0.6625,0.16875,0.16875,0.217391304348,0.586956521739,0.195652173913,0.235294117647,0.166666666667,0.598039215686
cret38,lowC_lowA,0.277777777778,0.388888888889,0.333333333333,0.66265060241,0.174698795181,0.16265060241,0.216783216783,0.587412587413,0.195804195804,0.220183486239,0.174311926606,0.605504587156
cret39,lowC_lowA,0.5,0.3,0.2,0.674157303371,0.168539325843,0.157303370787,0.208053691275,0.590604026846,0.201342281879,0.216216216216,0.18018018018,0.603603603604
