sub_id,trial_type,percentage_last_fixated_item_was_selected,mean_response_time
cret03,non_high_pref,0.642857142857,1459.13587482
cret04,non_high_pref,0.684931506849,986.479934853
cret05,non_high_pref,0.395061728395,1163.2286226
cret06,non_high_pref,,
cret07,non_high_pref,0.486111111111,1338.52685876
cret08,non_high_pref,0.833333333333,1528.00354914
cret09,non_high_pref,0.508474576271,837.235319181
cret10,non_high_pref,0.78125,853.644990215
cret11,non_high_pref,0.684210526316,1171.46803345
cret13,non_high_pref,0.881578947368,2220.38922493
cret14,non_high_pref,0.388059701493,1185.10763239
cret15,non_high_pref,0.518987341772,1542.75387607
cret16,non_high_pref,0.461538461538,1602.64780413
cret17,non_high_pref,0.52,1446.66205828
cret18,non_high_pref,0.666666666667,1388.34416261
cret19,non_high_pref,0.412698412698,880.49295457
cret21,non_high_pref,0.725,1347.94479129
cret22,non_high_pref,0.781818181818,1616.95911559
cret25,non_high_pref,0.818181818182,1101.94350459
cret28,non_high_pref,0.725806451613,1034.574484
cret29,non_high_pref,0.483333333333,893.084882914
cret03,high_pref,0.636363636364,1127.34411652
cret04,high_pref,0.671052631579,817.73244028
cret05,high_pref,0.4,884.047099098
cret06,high_pref,0.948717948718,530.476898018
cret07,high_pref,0.491228070175,1197.16292161
cret08,high_pref,0.828571428571,1366.21623049
cret09,high_pref,0.454545454545,770.372952715
cret10,high_pref,0.791044776119,762.985738746
cret11,high_pref,0.596774193548,837.914021154
cret13,high_pref,0.835616438356,2073.47590583
cret14,high_pref,0.227272727273,813.86869728
cret15,high_pref,0.64,1435.91535905
cret16,high_pref,0.653846153846,1347.40940814
cret17,high_pref,0.632911392405,1310.97895935
cret18,high_pref,0.613333333333,1125.95437826
cret19,high_pref,0.515625,855.033746831
cret21,high_pref,0.769230769231,965.529859909
cret22,high_pref,0.787234042553,996.651907886
cret25,high_pref,0.930555555556,895.444073444
cret28,high_pref,0.8125,762.332865766
cret29,high_pref,0.655737704918,736.787935304
